filename                                                    CCSD(T)/CBS_(kcal/mol)

01_Water-Water_1_y_-30.xyz                                  -4.12
01_Water-Water_1_y_+30.xyz                                  -4.12
01_Water-Water_1_z_-30.xyz                                  -4.27
01_Water-Water_1_z_+30.xyz                                  -4.23
01_Water-Water_2_y_-30.xyz                                  -3.91
01_Water-Water_2_y_+30.xyz                                  -3.91
01_Water-Water_2_z_-30.xyz                                  -4.49
01_Water-Water_2_z_+30.xyz                                  -4.67
02_Water-MeOH_1_y_-30.xyz                                   -4.65
02_Water-MeOH_1_y_+30.xyz                                   -4.77
02_Water-MeOH_1_z_-30.xyz                                   -4.82
02_Water-MeOH_1_z_+30.xyz                                   -4.90
02_Water-MeOH_2_y_-30.xyz                                   -4.43
02_Water-MeOH_2_y_+30.xyz                                   -3.29
02_Water-MeOH_2_z_-30.xyz                                   -4.68
02_Water-MeOH_2_z_+30.xyz                                   -5.35
03_Water-MeNH2_1_y_-30.xyz                                  -5.61
03_Water-MeNH2_1_y_+30.xyz                                  -5.60
03_Water-MeNH2_1_z_-30.xyz                                  -5.85
03_Water-MeNH2_1_z_+30.xyz                                  -5.83
03_Water-MeNH2_2_y_-30.xyz                                  -5.56
03_Water-MeNH2_2_y_+30.xyz                                  -5.58
03_Water-MeNH2_2_z_-30.xyz                                  -5.59
03_Water-MeNH2_2_z_+30.xyz                                  -5.58
08_MeOH-Water_1_y_-30.xyz                                   -4.30
08_MeOH-Water_1_y_+30.xyz                                   -4.30
08_MeOH-Water_1_z_-30.xyz                                   -4.45
08_MeOH-Water_1_z_+30.xyz                                   -4.37
08_MeOH-Water_2_y_-30.xyz                                   -4.03
08_MeOH-Water_2_y_+30.xyz                                   -4.04
08_MeOH-Water_2_z_-30.xyz                                   -4.72
08_MeOH-Water_2_z_+30.xyz                                   -4.78
12_MeNH2-Water_1_y_-30.xyz                                  -6.11
12_MeNH2-Water_1_y_+30.xyz                                  -6.10
12_MeNH2-Water_1_z_-30.xyz                                  -4.28
12_MeNH2-Water_1_z_+30.xyz                                  -6.03
12_MeNH2-Water_2_y_-30.xyz                                  -5.88
12_MeNH2-Water_2_y_+30.xyz                                  -5.84
12_MeNH2-Water_2_z_-30.xyz                                  -6.02
12_MeNH2-Water_2_z_+30.xyz                                  -5.98
05_MeOH-MeOH_1_y_-30.xyz                                    -4.94
05_MeOH-MeOH_1_y_+30.xyz                                    -5.01
05_MeOH-MeOH_1_z_-30.xyz                                    -5.23
05_MeOH-MeOH_1_z_+30.xyz                                    -5.07
05_MeOH-MeOH_2_y_-30.xyz                                    -4.76
05_MeOH-MeOH_2_y_+30.xyz                                    -3.27
05_MeOH-MeOH_2_z_-30.xyz                                    -5.36
05_MeOH-MeOH_2_z_+30.xyz                                    -5.59
06_MeOH-MeNH2_1_y_-30.xyz                                   -6.30
06_MeOH-MeNH2_1_y_+30.xyz                                   -6.30
06_MeOH-MeNH2_1_z_-30.xyz                                   -5.59
06_MeOH-MeNH2_1_z_+30.xyz                                   -6.41
06_MeOH-MeNH2_2_y_-30.xyz                                   -6.19
06_MeOH-MeNH2_2_y_+30.xyz                                   -6.18
06_MeOH-MeNH2_2_z_-30.xyz                                   -6.28
06_MeOH-MeNH2_2_z_+30.xyz                                   -4.85
09_MeNH2-MeOH_1_y_-30.xyz                                   -2.60
09_MeNH2-MeOH_1_y_+30.xyz                                   -2.64
09_MeNH2-MeOH_1_z_-30.xyz                                   -2.06
09_MeNH2-MeOH_1_z_+30.xyz                                   -2.63
09_MeNH2-MeOH_2_y_-30.xyz                                   -2.86
09_MeNH2-MeOH_2_y_+30.xyz                                   -2.72
09_MeNH2-MeOH_2_z_-30.xyz                                   -2.73
09_MeNH2-MeOH_2_z_+30.xyz                                   -2.08
10_MeNH2-MeNH2_1_y_-30.xyz                                  -3.06
10_MeNH2-MeNH2_1_y_+30.xyz                                  -3.67
10_MeNH2-MeNH2_1_z_-30.xyz                                  -3.25
10_MeNH2-MeNH2_1_z_+30.xyz                                  -3.40
10_MeNH2-MeNH2_2_y_-30.xyz                                  -3.20
10_MeNH2-MeNH2_2_y_+30.xyz                                  -3.34
10_MeNH2-MeNH2_2_z_-30.xyz                                  -3.08
10_MeNH2-MeNH2_2_z_+30.xyz                                  -1.56
